timestep,alphat_eff_gamelength_5,runtime_gamelength_5,game_length,winner,runtime,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,alphat_eff_gamelength_4,runtime_gamelength_4,alphat_eff_gamelength_3,runtime_gamelength_3,collisions,data_of_agent,run_num,alphat_eff_gamelength_2,runtime_gamelength_2
4,,,3,"[0, 0]",4.045634269714355,1,"[[4.0, 1.0, -3.141592653589793, 0], [4.0, 1.0, -3.141592653589793, 1]]","[[3.0, 2.0, 1.5707963267948961, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.771482516401168, 0.728517483373831]]",[1.0],[1.0],[0.5429650330337821],[0.45703496696621704],0.9922778767136671,2.234056949615478,,,0,0,0,,
5,,,3,"[0, 0]",3.91044282913208,1,"[[4.0, 1.0, -3.141592653589793, 0], [4.0, 1.0, -3.141592653589793, 1]]","[[3.0, 2.0, 3.141592653589793, 0], [2.0, 2.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7823344394100771, 0.717665560364922]]",[1.0],[1.0],[0.5646688790548551],[0.43533112094514403],0.9922778767136671,2.150373220443725,,,0,0,0,,
6,,,3,"[0, 0]",4.066080808639526,1,"[[4.0, 1.0, -3.141592653589793, 0], [4.0, 1.0, -1.5707963267948961, 1]]","[[2.0, 2.0, 3.141592653589793, 0], [1.0, 2.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.814890208436802, 0.685109791338197]]",[1.0],[1.0],[0.6297804171180721],[0.370219582881927],0.9922778767136671,2.26995849609375,,,0,0,0,,
7,,,3,"[0, 0]",4.04643964767456,1,"[[4.0, 1.0, -1.5707963267948961, 0], [4.0, 1.0, -3.141592653589793, 1]]","[[1.0, 2.0, 4.71238898038469, 0], [0.9999999999999991, 1.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.814890208436802, 0.685109791338197]]",[1.0],[1.0],[0.6297804171180721],[0.370219582881927],0.9922778767136671,2.210354328155517,,,0,0,0,,
8,,,3,"[0, 0]",3.749361038208008,1,"[[4.0, 1.0, -3.141592653589793, 0], [4.0, 1.0, -3.141592653589793, 1]]","[[1.0, 2.0, 3.141592653589793, 0], [1.0, 2.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.814890208436802, 0.685109791338197]]",[1.0],[1.0],[0.6297804171180721],[0.370219582881927],0.9922778767136671,2.215093612670898,,,0,0,0,,
9,,,3,"[0, 0]",3.568670749664306,1,"[[4.0, 1.0, -3.141592653589793, 0], [4.0, 1.0, -1.5707963267948961, 1]]","[[0.0, 2.0, 4.71238898038469, 0], [0.0, 2.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.814890208436802, 0.685109791338197]]",[1.0],[1.0],[0.6297804171180721],[0.370219582881927],0.9922778767136671,2.1719553470611572,,,0,0,0,,
0,0.9578262852211511,1.336405515670776,4,"[0, 0]",5.372642993927002,1,"[[1.0, 2.0, 0.0, 0], [1.0, 2.0, -1.5707963267948961, 1]]","[[1.0, 4.0, 0.0, 0], [2.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.738742306120986, 0.7612576936540131]]",[1.0],[1.0],[0.477484612463596],[0.522515387536403],,,,,0,1,0,,
1,0.9578262852211511,1.148313999176025,4,"[0, 0]",4.7557151317596436,1,"[[1.0, 2.0, 0.0, 0], [2.0, 2.0, 0.0, 1]]","[[2.0, 4.0, 0.0, 0], [3.0, 4.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7388160826223691, 0.76118391715263]]",[1.0],[1.0],[0.47763216546638304],[0.522367834533616],,,,,0,1,0,,
2,,,3,"[0, 0]",3.164853811264038,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, 1.5707963267948961, 1]]","[[3.0, 4.0, -1.5707963267948961, 0], [3.0, 2.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.79329702717106, 0.70670297260394]]",[1.0],[1.0],[0.586594054580108],[0.413405945419891],0.9363291775690441,0.8269968032836911,,,0,1,0,,
3,,,2,"[0, 0]",2.186869621276855,1,"[[4.0, 2.0, -1.5707963267948961, 0], [4.0, 2.0, -3.141592653589793, 1]]","[[3.0, 2.0, 0.0, 0], [3.0, 2.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7715194046518601, 0.728480595123139]]",[1.0],[1.0],[0.543038809535176],[0.45696119046482303],,,0.787838597158335,0.691726922988891,0,1,0,,
