game_length,weight_final,agent,action,num_iter,gamma_exp3,runtime,sum_payoffs,num_count,expected_payoff,num_run
2,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.31,27.999999995333372,267,0.10486891384019989,0
2,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.31,30.24999999495838,261,0.1159003831224459,0
2,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.31,242.4166666262643,1339,0.1810430669352235,0
1,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.18,248.5833332919032,1396,0.17806829032371288,0
1,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.18,19.666666663388916,204,0.09640522874210253,0
1,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.18,21.083333329819474,223,0.09454409564941468,0
1,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.18,243.99999995933373,1377,0.17719680461825252,0
2,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.3,26.333333328944484,260,0.10128205126517109,1
2,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.3,238.83333329352817,1340,0.1782338308160658,1
2,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.3,250.58333329156986,1381,0.18145063960287464,1
2,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.3,20.749999996541696,219,0.09474885843169724,1
1,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.18,20.99999999650003,218,0.0963302752133029,1
1,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.18,244.6666666258893,1382,0.17703810899123681,1
1,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.18,20.166666663305584,208,0.09695512818896915,1
1,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.18,247.33333329211152,1392,0.17768199230755138,1
2,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.31,233.6666666277226,1347,0.1734719128639366,2
2,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.31,29.833333328361157,253,0.11791831355083461,2
2,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.31,253.49999995775042,1414,0.1792786421200498,2
2,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.31,20.333333329944473,186,0.10931899639755092,2
1,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.19,231.5833332947365,1323,0.17504409168158466,2
1,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.19,28.333333328611154,277,0.10228640190834351,2
1,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.19,21.749999996375028,198,0.10984848483017691,2
1,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.19,251.49999995808375,1402,0.17938659055498127,2
2,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.3,28.583333328569484,252,0.11342592590702176,3
2,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.3,239.66666662672262,1348,0.17779426307620372,3
2,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.3,243.83333329269485,1374,0.17746239686513454,3
2,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.3,22.916666662847252,226,0.10140117992410289,3
1,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.18,252.9166666245143,1420,0.1781103286088129,3
1,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.18,17.416666663763912,180,0.09675925924313285,3
1,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.18,21.249999996458364,226,0.09402654865689541,3
1,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.18,241.58333329306984,1374,0.1758248422802546,3
2,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.3,258.49999995691707,1382,0.1870477568429212,5
2,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.3,21.916666663013917,218,0.10053516817896292,5
2,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.3,29.083333328486155,286,0.10168997667302851,5
2,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.3,224.99999996250037,1314,0.17123287668379022,5
1,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.19,233.41666662776427,1325,0.17616352198321833,5
1,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.19,27.416666662097263,275,0.09969696968035369,5
1,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.19,21.416666663097253,205,0.10447154469803538,5
1,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.19,251.08333329148653,1395,0.1799880525387,5
2,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.31,247.99999995866708,1384,0.17919075141522187,6
2,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.31,22.33333332961114,216,0.10339506171116268,6
2,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.31,23.416666662763923,246,0.09518970188115417,6
2,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.31,243.5833332927365,1354,0.1798990644702633,6
1,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.18,246.99999995883374,1394,0.17718794832054072,6
1,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.18,20.24999999662503,206,0.09830097085740305,6
1,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.18,245.2499999591254,1387,0.17682047581768234,6
1,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.18,20.83333332986114,213,0.09780907666601475,6
2,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.31,242.58333329290318,1367,0.17745671784411352,7
2,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.31,26.583333328902818,233,0.11409155935151424,7
2,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.31,23.99999999600003,227,0.10572687222907502,7
2,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.31,244.3333332926115,1373,0.1779558144884279,7
1,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.19,23.08333332948614,231,0.09992784991119541,7
1,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.19,243.99999995933373,1369,0.17823228631068935,7
1,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.19,23.666666662722253,238,0.09943977589379098,7
1,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.19,242.4166666262643,1362,0.17798580515878434,7
2,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.29,230.91666662818093,1322,0.17467221378833656,8
2,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.29,28.33333332861115,278,0.10191846521083148,8
2,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.29,245.9999999590004,1357,0.18128224020560088,8
2,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.29,29.416666661763934,243,0.12105624140643594,8
1,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.18,20.749999996541693,206,0.10072815532301793,8
1,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.18,245.58333329240318,1394,0.17617168815810846,8
1,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.18,247.08333329215318,1400,0.17648809520868083,8
1,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.18,20.083333329986136,200,0.10041666664993068,8
2,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.3,249.9166666250143,1380,0.18109903378624226,9
2,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.3,23.7499999960417,220,0.10795454543655318,9
2,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.3,236.16666662730594,1350,0.17493827157578218,9
2,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.3,26.333333328944484,250,0.10533333331577793,9
1,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.23,22.08333332965281,216,0.1022376543039482,9
1,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.23,248.66666662522263,1384,0.17967244698354237,9
1,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.23,26.166666662305595,265,0.098742138348323,9
1,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.23,236.41666662726428,1335,0.17709113605038523,9
2,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.3,21.666666663055587,210,0.10317460315740755,10
2,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.3,250.4999999582504,1390,0.18021582730809382,10
2,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.3,241.08333329315317,1376,0.17520591082351247,10
2,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.3,24.08333332931948,224,0.10751488093446196,10
1,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.18,247.74999995870874,1390,0.1782374100422365,10
1,0.5,0,"[0.0, 0.0]",1600.0,0.2,0.18,21.666666663055587,210,0.10317460315740755,10
1,0.5,1,"[0.0, 0.0]",1600.0,0.2,0.18,24.24999999595837,243,0.09979423866649535,10
1,0.5,1,"[1.0, 0.0]",1600.0,0.2,0.18,239.66666662672262,1357,0.17661508225992822,10
2,0.2,0,"[0.0, 0.0]",1600.0,0.2,0.3,18.749999996562536,310,0.06048387095665334,0
2,0.2,0,"[1.0, 0.0]",1600.0,0.2,0.3,119.41666664477228,1290,0.09257105941455215,0
2,0.2,1,"[0.0, 0.0]",1600.0,0.2,0.3,20.62499999621885,377,0.05470822280164151,0
2,0.2,1,"[1.0, 0.0]",1600.0,0.2,0.3,111.29166664626219,1223,0.09099890976799851,0
1,0.2,0,"[0.0, 0.0]",1600.0,0.2,0.18,14.458333330682628,272,0.05315563724515672,0
1,0.2,0,"[1.0, 0.0]",1600.0,0.2,0.18,120.62499997788413,1328,0.09083207829659949,0
1,0.2,1,"[0.0, 0.0]",1600.0,0.2,0.18,16.29166666367986,316,0.05155590716354386,0
1,0.2,1,"[1.0, 0.0]",1600.0,0.2,0.18,115.20833331221078,1284,0.08972611628676852,0
2,0.2,0,"[0.0, 0.0]",1600.0,0.2,0.31,16.999999996883343,283,0.06007067136707895,1
2,0.2,0,"[1.0, 0.0]",1600.0,0.2,0.31,118.49999997827376,1317,0.08997722094022305,1
2,0.2,1,"[0.0, 0.0]",1600.0,0.2,0.31,15.1666666638861,269,0.05638166046054312,1
2,0.2,1,"[1.0, 0.0]",1600.0,0.2,0.31,120.99999997781529,1331,0.09090909089242322,1
1,0.2,0,"[0.0, 0.0]",1600.0,0.2,0.18,17.708333330086848,310,0.05712365590350596,1
1,0.2,0,"[1.0, 0.0]",1600.0,0.2,0.18,119.49999997809036,1290,0.09263565889774446,1
