timestep,alphat_eff_gamelength_5,runtime_gamelength_5,game_length,winner,runtime,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,alphat_eff_gamelength_4,runtime_gamelength_4,alphat_eff_gamelength_3,runtime_gamelength_3,alphat_eff_gamelength_2,runtime_gamelength_2,alphat_eff_gamelength_1,runtime_gamelength_1,collisions,data_of_agent,run_num
0,0.9578262852211511,0.7827951908111571,4.0,"[0, 0]",1.062500476837158,1,"[[1.0, 2.0, 0.0, 0], [1.0, 2.0, 1.5707963267948961, 1]]","[[1.0, 4.0, 0.0, 0], [1.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7604461521388031, 0.739553847636196]]",[1.0],[1.0],[0.5208923045057411],[0.479107695494258],,,,,,,,,0,1,5
1,,,3.0,"[0, 0]",0.8609848022460931,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, 1.5707963267948961, 1]]","[[1.0, 4.0, 1.5707963267948961, 0], [1.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.8475566422156021, 0.6524433575593971]]",[1.0],[1.0],[0.6951132846854711],[0.30488671531452805],0.9363291775690441,0.659975051879882,,,,,,,0,1,5
2,,,2.0,"[0, 0]",0.6763985157012941,1,"[[5.0, 2.0, 0.0, 0], [7.0, 2.0, 1.5707963267948961, 1]]","[[1.0, 4.0, 1.5707963267948961, 0], [1.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.891111887254001, 0.6088881125209981]]",[1.0],[1.0],[0.7822237747753361],[0.21777622522466303],,,0.8944271909999151,0.5131204128265381,,,,,0,1,5
3,,,1.0,"[0, 0]",0.46811366081237704,1,"[[7.0, 2.0, 0.0, 0], [8.0, 2.0, -1.5707963267948961, 1]]","[[1.0, 4.0, 1.5707963267948961, 0], [1.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9020006985136011, 0.597999301261398]]",[1.0],[1.0],[0.8040013972978031],[0.19599860270219602],,,,,0.8,0.35013103485107405,,,0,1,5
4,,,0.0,"[0, 0]",0.28372955322265603,1,"[[9.0, 2.0, 0.0, 0], [10.0, 2.0, 1.5707963267948961, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9238520975341841, 0.576147902240816]]",[1.0],[1.0],[0.8477041953455231],[0.152295804654476],,,,,,,0.554700196225229,0.215680837631225,0,1,5
5,,,0.0,"[0, 0]",0.301012992858886,1,"[[11.0, 2.0, -1.5707963267948961, 0], [11.0, 2.0, -1.5707963267948961, 1]]","[[2.0, 5.0, 0.0, 0], [3.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.923925874035566, 0.5760741257394331]]",[1.0],[1.0],[0.8478517483483111],[0.15214825165168902],,,,,,,0.6666666666666661,0.229070901870727,0,1,5
6,,,1.0,"[0, 0]",0.47605752944946206,1,"[[11.0, 1.0, -1.5707963267948961, 0], [11.0, 1.0, 0.0, 1]]","[[3.0, 5.0, 0.0, 0], [3.0, 5.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.923925874035566, 0.5760741257394331]]",[1.0],[1.0],[0.8478517483483111],[0.15214825165168902],,,,,1.0,0.37007188796997004,,,0,1,5
7,,,1.0,"[0, 0]",0.435639142990112,1,"[[11.0, 1.0, 0.0, 0], [13.0, 1.0, 1.5707963267948961, 1]]","[[3.0, 5.0, 1.5707963267948961, 0], [3.0, 5.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.9348146852951661, 0.565185314479833]]",[1.0],[1.0],[0.8696293708707771],[0.130370629129222],,,,,1.0,0.33099699020385703,,,0,1,5
8,,,1.0,"[0, 0]",0.45925760269165006,1,"[[13.0, 1.0, 1.5707963267948961, 0], [13.0, 2.0, 1.5707963267948961, 1]]","[[3.0, 5.0, 3.141592653589793, 0], [1.0, 5.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9782223773308001, 0.521777622444199]]",[1.0],[1.0],[0.9564447549550671],[0.043555245044932],,,,,0.8944271909999151,0.32644009590148904,,,0,1,5
9,,,0.0,"[1, 0]",0.23110747337341303,1,"[[13.0, 3.0, 1.5707963267948961, 0], [13.0, 5.0, 0.0, 1]]","[[1.0, 5.0, 4.71238898038469, 0], [0.9999999999999991, 4.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.99999999985, 0.499999999925]]",[1.0],[1.0],[1.0],[0.0],,,,,,,0.707106781186547,0.161304712295532,0,1,5
0,0.9578262852211511,22.845432996749878,4.0,"[0, 0]",22.84913158416748,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],,,,,,,,,0,0,8
1,,,3.0,"[0, 0]",16.13763451576233,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, 0.0, 1]]","[[2.0, 4.0, -1.5707963267948961, 0], [2.0, 2.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.815000873188876, 0.684999126586123]]",[1.0],[1.0],[0.630001746622254],[0.369998253377745],0.9363291775690441,16.130205392837524,,,,,,,0,0,8
2,,,2.0,"[0, 0]",10.416538000106812,1,"[[5.0, 2.0, 0.0, 0], [7.0, 2.0, 0.0, 1]]","[[2.0, 2.0, 0.0, 0], [4.0, 2.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.8151484261916421, 0.684851573583357]]",[1.0],[1.0],[0.6302968526278291],[0.36970314737217],,,0.8944271909999151,10.411619186401367,,,,,0,0,8
