timestep,alphat_eff_gamelength_5,runtime_gamelength_5,game_length,winner,runtime,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,alphat_eff_gamelength_4,runtime_gamelength_4,alphat_eff_gamelength_3,runtime_gamelength_3,alphat_eff_gamelength_2,runtime_gamelength_2,alphat_eff_gamelength_1,runtime_gamelength_1,collisions,data_of_agent,run_num
5,,,0.0,"[0, 0]",0.882795095443725,1,"[[11.0, 2.0, 1.5707963267948961, 0], [11.0, 4.0, 3.141592653589793, 1]]","[[1.0, 5.0, 1.5707963267948961, 0], [1.0, 5.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.9782223773308001, 0.521777622444199]]",[1.0],[1.0],[0.9564447549550671],[0.043555245044932],,,,,,,0.6666666666666661,0.8789701461791991,0,0,1
6,,,,"[0, 0]",0.000123739242553,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[1.0, 5.0, 0.0, 0]]","[[0.47822237740580004, 0.021777622519199003]]",,,[0.9564447549550671],[0.043555245044932],,,,,,,,,0,0,1
7,,,,"[0, 0]",0.00014758110046300002,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[1.0, 5.0, 0.0, 0]]","[[0.47822237740580004, 0.021777622519199003]]",,,[0.9564447549550671],[0.043555245044932],,,,,,,,,0,0,1
8,,,,"[0, 0]",0.00018286705017,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[1.0, 5.0, 0.0, 0]]","[[0.47822237740580004, 0.021777622519199003]]",,,[0.9564447549550671],[0.043555245044932],,,,,,,,,0,0,1
9,,,,"[0, 0]",0.000190258026123,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[1.0, 5.0, 0.0, 0]]","[[0.47822237740580004, 0.021777622519199003]]",,,[0.9564447549550671],[0.043555245044932],,,,,,,,,0,0,1
0,0.9578262852211511,0.7522640228271481,4.0,"[0, 0]",1.051593542098999,1,"[[1.0, 2.0, 0.0, 0], [1.0, 2.0, -1.5707963267948961, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7170384601031691, 0.78296153967183]]",[1.0],[1.0],[0.434076920421451],[0.565923079578548],,,,,,,,,0,1,1
1,,,3.0,"[0, 0]",0.8543894290924071,1,"[[3.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[3.0, 4.0, 1.5707963267948961, 0], [3.0, 5.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],0.9363291775690441,0.631044149398803,,,,,,,0,1,1
2,,,2.0,"[0, 0]",0.7385063171386711,1,"[[5.0, 2.0, 0.0, 0], [7.0, 2.0, 1.5707963267948961, 1]]","[[3.0, 5.0, 3.141592653589793, 0], [1.0, 5.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.891111887254001, 0.6088881125209981]]",[1.0],[1.0],[0.7822237747753361],[0.21777622522466303],,,0.8944271909999151,0.5341994762420651,,,,,0,1,1
3,,,1.0,"[0, 0]",0.584233283996582,1,"[[7.0, 2.0, 0.0, 0], [8.0, 2.0, -1.5707963267948961, 1]]","[[1.0, 5.0, 1.5707963267948961, 0], [1.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9020006985136011, 0.597999301261398]]",[1.0],[1.0],[0.8040013972978031],[0.19599860270219602],,,,,0.8,0.46513676643371504,,,0,1,1
4,,,0.0,"[0, 0]",0.31941151618957503,1,"[[9.0, 2.0, 0.0, 0], [11.0, 2.0, -1.5707963267948961, 1]]","[[1.0, 5.0, 0.0, 0], [1.0, 5.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.9673335660712, 0.5326664337037991]]",[1.0],[1.0],[0.934667132432601],[0.065332867567398],,,,,,,0.554700196225229,0.23192763328552202,0,1,1
5,,,0.0,"[0, 0]",0.27794218063354403,1,"[[11.0, 2.0, 1.5707963267948961, 0], [11.0, 4.0, 1.5707963267948961, 1]]","[[1.0, 5.0, 1.5707963267948961, 0], [1.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9782223773308001, 0.521777622444199]]",[1.0],[1.0],[0.9564447549550671],[0.043555245044932],,,,,,,0.6666666666666661,0.22406148910522403,0,1,1
6,,,,"[0, 0]",0.00026583671569800003,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[1.0, 5.0, 0.0, 0]]","[[0.47822237740580004, 0.021777622519199003]]",,,[0.9564447549550671],[0.043555245044932],,,,,,,,,0,1,1
7,,,,"[0, 0]",0.00019311904907200002,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[1.0, 5.0, 0.0, 0]]","[[0.47822237740580004, 0.021777622519199003]]",,,[0.9564447549550671],[0.043555245044932],,,,,,,,,0,1,1
8,,,,"[0, 0]",0.00026726722717200003,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[1.0, 5.0, 0.0, 0]]","[[0.47822237740580004, 0.021777622519199003]]",,,[0.9564447549550671],[0.043555245044932],,,,,,,,,0,1,1
9,,,,"[0, 0]",0.00029277801513600003,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[1.0, 5.0, 0.0, 0]]","[[0.47822237740580004, 0.021777622519199003]]",,,[0.9564447549550671],[0.043555245044932],,,,,,,,,0,1,1
0,0.9578262852211511,23.8832905292511,4.0,"[0, 0]",23.888226985931396,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],,,,,,,,,0,0,4
1,,,3.0,"[0, 0]",16.792786359786987,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, 0.0, 1]]","[[3.0, 4.0, 0.0, 0], [5.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.760741258144334, 0.7392587416306651]]",[1.0],[1.0],[0.521482516516891],[0.478517483483108],0.9363291775690441,16.78800678253174,,,,,,,0,0,4
2,,,2.0,"[0, 0]",10.624838590621948,1,"[[5.0, 2.0, 0.0, 0], [7.0, 2.0, 0.0, 1]]","[[5.0, 4.0, -1.5707963267948961, 0], [5.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.804296503182733, 0.695703496592266]]",[1.0],[1.0],[0.6085930066067561],[0.39140699339324303],,,0.8944271909999151,10.620954513549805,,,,,0,0,4
3,,,1.0,"[0, 0]",4.236395597457886,1,"[[7.0, 2.0, 0.0, 0], [9.0, 2.0, 0.0, 1]]","[[5.0, 3.0, -1.5707963267948961, 0], [5.0, 1.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.8261110139526241, 0.673888985822375]]",[1.0],[1.0],[0.6522220281530821],[0.347777971846917],,,,,0.8,4.231746912002563,,,0,0,4
4,,,0.0,"[0, 0]",0.798022508621215,1,"[[9.0, 2.0, 0.0, 0], [11.0, 2.0, 1.5707963267948961, 1]]","[[5.0, 1.0, 0.0, 0], [7.0, 1.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.82625856695539, 0.6737414328196091]]",[1.0],[1.0],[0.6525171341586571],[0.347482865841342],,,,,,,0.554700196225229,0.793350934982299,0,0,4
5,,,0.0,"[0, 0]",0.8371005058288571,1,"[[11.0, 2.0, 1.5707963267948961, 0], [11.0, 4.0, 3.141592653589793, 1]]","[[7.0, 1.0, 1.5707963267948961, 0], [7.0, 1.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.8371473782149901, 0.66285262156001]]",[1.0],[1.0],[0.674294756681124],[0.325705243318875],,,,,,,0.6666666666666661,0.831566572189331,0,0,4
6,,,,"[0, 0]",0.00014257431030200002,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[7.0, 1.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,0,4
7,,,,"[0, 0]",0.000179767608642,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[7.0, 1.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,0,4
8,,,,"[0, 0]",0.000161409378051,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[7.0, 1.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,0,4
9,,,,"[0, 0]",0.00028681755065900004,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[7.0, 1.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,0,4
0,0.9578262852211511,0.7866020202636711,4.0,"[0, 0]",1.072657346725463,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],,,,,,,,,0,1,4
1,,,3.0,"[0, 0]",0.853101968765258,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, 0.0, 1]]","[[3.0, 4.0, 0.0, 0], [5.0, 4.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.760741258144334, 0.7392587416306651]]",[1.0],[1.0],[0.521482516516891],[0.478517483483108],0.9363291775690441,0.613735914230346,,,,,,,0,1,4
2,,,2.0,"[0, 0]",0.659070968627929,1,"[[5.0, 2.0, 0.0, 0], [6.0, 2.0, 0.0, 1]]","[[5.0, 4.0, -1.5707963267948961, 0], [5.0, 3.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.782518880663534, 0.7174811191114651]]",[1.0],[1.0],[0.5650377615618241],[0.43496223843817605],,,0.8944271909999151,0.47666716575622503,,,,,0,1,4
3,,,1.0,"[0, 0]",0.621956586837768,1,"[[7.0, 2.0, 0.0, 0], [8.0, 2.0, 1.5707963267948961, 1]]","[[5.0, 3.0, -1.5707963267948961, 0], [5.0, 1.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.8043333914334251, 0.695666608341574]]",[1.0],[1.0],[0.60866678310815],[0.391333216891849],,,,,0.8,0.481110334396362,,,0,1,4
4,,,0.0,"[0, 0]",0.291260719299316,1,"[[9.0, 2.0, 0.0, 0], [11.0, 2.0, -1.5707963267948961, 1]]","[[5.0, 1.0, 0.0, 0], [7.0, 1.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.82625856695539, 0.6737414328196091]]",[1.0],[1.0],[0.6525171341586571],[0.347482865841342],,,,,,,0.554700196225229,0.22169542312622,0,1,4
5,,,0.0,"[0, 0]",0.288831949234008,1,"[[11.0, 2.0, 1.5707963267948961, 0], [11.0, 3.0, 0.0, 1]]","[[7.0, 1.0, 1.5707963267948961, 0], [7.0, 1.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.8371473782149901, 0.66285262156001]]",[1.0],[1.0],[0.674294756681124],[0.325705243318875],,,,,,,0.6666666666666661,0.216995000839233,0,1,4
6,,,,"[0, 0]",0.00028181076049800004,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[7.0, 1.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,1,4
7,,,,"[0, 0]",0.000216484069824,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[7.0, 1.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,1,4
8,,,,"[0, 0]",0.000246524810791,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[7.0, 1.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,1,4
9,,,,"[0, 0]",0.000268936157226,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[7.0, 1.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,1,4
0,0.9578262852211511,22.233424425125122,4.0,"[0, 0]",22.238083124160767,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],,,,,,,,,0,0,7
1,,,3.0,"[0, 0]",15.143083095550537,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, 0.0, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.8258527961977851, 0.674147203577214]]",[1.0],[1.0],[0.6517055926433261],[0.34829440735667305],0.9363291775690441,15.139585971832275,,,,,,,0,0,7
2,,,2.0,"[0, 0]",10.221444606781006,1,"[[5.0, 2.0, 0.0, 0], [7.0, 2.0, 0.0, 1]]","[[2.0, 4.0, 3.141592653589793, 0], [2.0, 4.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.8694080412361841, 0.630591958538815]]",[1.0],[1.0],[0.7388160827331911],[0.261183917266808],,,0.8944271909999151,10.216558456420898,,,,,0,0,7
3,,,1.0,"[0, 0]",4.041508197784424,1,"[[7.0, 2.0, 0.0, 0], [9.0, 2.0, 0.0, 1]]","[[2.0, 4.0, 3.141592653589793, 0], [2.0, 4.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9020744750149841, 0.597925524760015]]",[1.0],[1.0],[0.8041489503005901],[0.195851049699409],,,,,0.8,4.035717725753784,,,0,0,7
4,,,0.0,"[0, 0]",0.7296812534332271,1,"[[9.0, 2.0, 0.0, 0], [11.0, 2.0, 0.0, 1]]","[[0.0, 4.0, 4.71238898038469, 0], [0.0, 4.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9673335660712, 0.5326664337037991]]",[1.0],[1.0],[0.934667132432601],[0.065332867567398],,,,,,,0.554700196225229,0.727094888687133,0,0,7
5,,,0.0,"[0, 0]",0.79339599609375,1,"[[11.0, 2.0, 0.0, 0], [13.0, 2.0, 1.5707963267948961, 1]]","[[0.0, 4.0, 4.71238898038469, 0], [0.0, 4.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.9782223773308001, 0.521777622444199]]",[1.0],[1.0],[0.9564447549550671],[0.043555245044932],,,,,,,0.6666666666666661,0.7905776500701901,0,0,7
6,,,0.0,"[0, 0]",0.720652341842651,1,"[[13.0, 2.0, 1.5707963267948961, 0], [13.0, 4.0, 3.141592653589793, 1]]","[[0.0, 4.0, 4.71238898038469, 0], [0.0, 4.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9782223773308001, 0.521777622444199]]",[1.0],[1.0],[0.9564447549550671],[0.043555245044932],,,,,,,0.554700196225229,0.717517852783203,0,0,7
7,,,0.0,"[0, 0]",0.8025069236755371,1,"[[13.0, 4.0, 3.141592653589793, 0], [13.0, 4.0, 3.141592653589793, 1]]","[[0.0, 4.0, 0.0, 0], [2.0, 4.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.956518531312983, 0.5434814684620161]]",[1.0],[1.0],[0.9130370629129221],[0.086962937087077],,,,,,,0.8944271909999151,0.7978472709655761,0,0,7
8,,,0.0,"[0, 0]",0.798608779907226,1,"[[13.0, 4.0, 3.141592653589793, 0], [11.0, 4.0, 3.141592653589793, 1]]","[[0.0, 4.0, 1.5707963267948961, 0], [6.123233995736766e-17, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9782223773308001, 0.521777622444199]]",[1.0],[1.0],[0.9564447549550671],[0.043555245044932],,,,,,,0.8944271909999151,0.7950050830841061,0,0,7
9,,,,"[0, 0]",0.000131130218505,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[0.0, 4.0, 1.5707963267948961, 0]]","[[0.47822237740580004, 0.021777622519199003]]",,,[0.9564447549550671],[0.043555245044932],,,,,,,,,0,0,7
0,0.9578262852211511,0.8312404155731201,4.0,"[0, 0]",1.11443281173706,1,"[[1.0, 2.0, 0.0, 0], [2.0, 2.0, 1.5707963267948961, 1]]","[[1.0, 4.0, 0.0, 0], [2.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.760519928640186, 0.7394800711348131]]",[1.0],[1.0],[0.521039857508528],[0.47896014249147106],,,,,,,,,0,1,7
1,,,3.0,"[0, 0]",0.8251683712005611,1,"[[3.0, 2.0, 0.0, 0], [4.0, 2.0, 1.5707963267948961, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 4.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.804075173678585, 0.695924826096414]]",[1.0],[1.0],[0.608150347598394],[0.391849652401606],0.9363291775690441,0.6090240478515621,,,,,,,0,1,7
2,,,2.0,"[0, 0]",0.654696464538574,1,"[[5.0, 2.0, 0.0, 0], [7.0, 2.0, -1.5707963267948961, 1]]","[[2.0, 4.0, 3.141592653589793, 0], [2.0, 4.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.8694080412361841, 0.630591958538815]]",[1.0],[1.0],[0.7388160827331911],[0.261183917266808],,,0.8944271909999151,0.48488163948059004,,,,,0,1,7
3,,,1.0,"[0, 0]",0.46397590637207003,1,"[[7.0, 2.0, 0.0, 0], [8.0, 2.0, 1.5707963267948961, 1]]","[[2.0, 4.0, 3.141592653589793, 0], [0.0, 4.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9020006985136011, 0.597999301261398]]",[1.0],[1.0],[0.8040013972978031],[0.19599860270219602],,,,,0.8,0.335125684738159,,,0,1,7
4,,,0.0,"[0, 0]",0.26502180099487305,1,"[[9.0, 2.0, 0.0, 0], [9.0, 2.0, 1.5707963267948961, 1]]","[[0.0, 4.0, 4.71238898038469, 0], [0.0, 4.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9237783210328011, 0.5762216787421981]]",[1.0],[1.0],[0.8475566423427351],[0.15244335765726402],,,,,,,0.554700196225229,0.21830344200134202,0,1,7
5,,,0.0,"[0, 0]",0.26389169692993103,1,"[[11.0, 2.0, 0.0, 0], [11.0, 2.0, 0.0, 1]]","[[0.0, 4.0, 4.71238898038469, 0], [0.0, 4.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9673335660712, 0.5326664337037991]]",[1.0],[1.0],[0.934667132432601],[0.065332867567398],,,,,,,0.6666666666666661,0.21854138374328602,0,1,7
6,,,0.0,"[0, 0]",0.272514581680297,1,"[[13.0, 2.0, 1.5707963267948961, 0], [13.0, 3.0, 1.5707963267948961, 1]]","[[0.0, 4.0, 4.71238898038469, 0], [0.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9782223773308001, 0.521777622444199]]",[1.0],[1.0],[0.9564447549550671],[0.043555245044932],,,,,,,0.554700196225229,0.226613521575927,0,1,7
7,,,0.0,"[0, 0]",0.283541202545166,1,"[[13.0, 4.0, 3.141592653589793, 0], [11.0, 4.0, 1.5707963267948961, 1]]","[[0.0, 4.0, 0.0, 0], [0.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.9782223773308001, 0.521777622444199]]",[1.0],[1.0],[0.9564447549550671],[0.043555245044932],,,,,,,0.8944271909999151,0.217885017395019,0,1,7
8,,,0.0,"[0, 0]",0.272100210189819,1,"[[13.0, 4.0, 3.141592653589793, 0], [12.0, 4.0, 4.71238898038469, 1]]","[[0.0, 4.0, 1.5707963267948961, 0], [0.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.9782223773308001, 0.521777622444199]]",[1.0],[1.0],[0.9564447549550671],[0.043555245044932],,,,,,,0.8944271909999151,0.21188235282897902,0,1,7
9,,,,"[0, 0]",0.000280618667602,0,"[[11.0, 4.0, 3.141592653589793, 0]]","[[0.0, 4.0, 1.5707963267948961, 0]]","[[0.47822237740580004, 0.021777622519199003]]",,,[0.9564447549550671],[0.043555245044932],,,,,,,,,0,1,7
0,0.9578262852211511,23.59089207649231,4.0,"[0, 0]",23.596238136291504,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],,,,,,,,,0,0,0
1,,,3.0,"[0, 0]",16.49612045288086,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, 0.0, 1]]","[[3.0, 4.0, 0.0, 0], [5.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.760741258144334, 0.7392587416306651]]",[1.0],[1.0],[0.521482516516891],[0.478517483483108],0.9363291775690441,16.491969347000122,,,,,,,0,0,0
2,,,2.0,"[0, 0]",10.467361688613892,1,"[[5.0, 2.0, 0.0, 0], [7.0, 2.0, 0.0, 1]]","[[5.0, 4.0, 0.0, 0], [7.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.760888811147099, 0.7391111886279]]",[1.0],[1.0],[0.5217776225224661],[0.47822237747753304],,,0.8944271909999151,10.462581872940063,,,,,0,0,0
3,,,1.0,"[0, 0]",3.94150710105896,1,"[[7.0, 2.0, 0.0, 0], [9.0, 2.0, 0.0, 1]]","[[7.0, 4.0, 1.5707963267948961, 0], [7.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.793555244925899, 0.7064447548491001]]",[1.0],[1.0],[0.587110490089865],[0.412889509910134],,,,,0.8,3.93799614906311,,,0,0,0
4,,,0.0,"[0, 0]",0.827929735183715,1,"[[9.0, 2.0, 0.0, 0], [11.0, 2.0, 1.5707963267948961, 1]]","[[7.0, 4.0, 1.5707963267948961, 0], [7.0, 4.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.837110489964298, 0.662889509810701]]",[1.0],[1.0],[0.6742209801797301],[0.325779019820269],,,,,,,0.554700196225229,0.8227746486663811,0,0,0
5,,,0.0,"[0, 0]",0.800767183303833,1,"[[11.0, 2.0, 1.5707963267948961, 0], [11.0, 4.0, 0.0, 1]]","[[7.0, 5.0, 0.0, 0], [9.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.815443532197173, 0.6845564675778271]]",[1.0],[1.0],[0.630887064638979],[0.36911293536102],,,,,,,0.6666666666666661,0.796729803085327,0,0,0
6,,,,"[0, 0]",0.000143766403198,0,"[[11.0, 4.0, 0.0, 0]]","[[8.0, 5.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,0,0
7,,,,"[0, 0]",0.000149488449096,0,"[[11.0, 4.0, 0.0, 0]]","[[8.0, 5.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,0,0
8,,,,"[0, 0]",0.000152587890625,0,"[[11.0, 4.0, 0.0, 0]]","[[8.0, 5.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,0,0
9,,,,"[0, 0]",0.00021147727966300001,0,"[[11.0, 4.0, 0.0, 0]]","[[8.0, 5.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,0,0
0,0.9578262852211511,0.7850184440612791,4.0,"[0, 0]",1.060658931732177,1,"[[1.0, 2.0, 0.0, 0], [2.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7388160826223691, 0.76118391715263]]",[1.0],[1.0],[0.47763216546638304],[0.522367834533616],,,,,,,,,0,1,0
1,,,3.0,"[0, 0]",0.8524911403656,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, 1.5707963267948961, 1]]","[[3.0, 4.0, 0.0, 0], [5.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.760741258144334, 0.7392587416306651]]",[1.0],[1.0],[0.521482516516891],[0.478517483483108],0.9363291775690441,0.6150052547454831,,,,,,,0,1,0
2,,,2.0,"[0, 0]",0.6721177101135251,1,"[[5.0, 2.0, 0.0, 0], [6.0, 2.0, -1.5707963267948961, 1]]","[[5.0, 4.0, 0.0, 0], [7.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7391111886279, 0.760888811147099]]",[1.0],[1.0],[0.47822237747753304],[0.5217776225224661],,,0.8944271909999151,0.494023561477661,,,,,0,1,0
3,,,1.0,"[0, 0]",0.44243025779724104,1,"[[7.0, 2.0, 0.0, 0], [7.0, 2.0, 1.5707963267948961, 1]]","[[7.0, 4.0, 1.5707963267948961, 0], [7.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.760888811147099, 0.7391111886279]]",[1.0],[1.0],[0.5217776225224661],[0.47822237747753304],,,,,0.8,0.330573320388793,,,0,1,0
4,,,0.0,"[0, 0]",0.283028364181518,1,"[[9.0, 2.0, 0.0, 0], [9.0, 2.0, 0.0, 1]]","[[7.0, 4.0, 1.5707963267948961, 0], [7.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.804407167934807, 0.695592831840192]]",[1.0],[1.0],[0.608814336110937],[0.391185663889062],,,,,,,0.554700196225229,0.21697115898132302,0,1,0
5,,,0.0,"[0, 0]",0.2783784866333,1,"[[11.0, 2.0, 1.5707963267948961, 0], [11.0, 3.0, 3.141592653589793, 1]]","[[7.0, 5.0, 0.0, 0], [8.0, 5.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.8371473782149901, 0.66285262156001]]",[1.0],[1.0],[0.674294756681124],[0.325705243318875],,,,,,,0.6666666666666661,0.21355533599853502,0,1,0
6,,,,"[0, 0]",0.000149726867675,0,"[[11.0, 4.0, 0.0, 0]]","[[8.0, 5.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,1,0
7,,,,"[0, 0]",0.00020217895507800002,0,"[[11.0, 4.0, 0.0, 0]]","[[8.0, 5.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,1,0
8,,,,"[0, 0]",0.000222206115722,0,"[[11.0, 4.0, 0.0, 0]]","[[8.0, 5.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,1,0
9,,,,"[0, 0]",0.000164747238159,0,"[[11.0, 4.0, 0.0, 0]]","[[8.0, 5.0, 1.5707963267948961, 0]]","[[0.33714737828999003, 0.16285262163501]]",,,[0.674294756681124],[0.325705243318875],,,,,,,,,0,1,0
